Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD
Exponential,2,1,10.1,Simulation,0.374685,0.526361
Exponential,2,1,10.1,Statistical,0.37449157075559886,0.5264988784272531
Constant,2,1,10.2,Simulation,0.41933,0.482624
Constant,2,1,10.2,Statistical,0.41850131646900746,0.48345953312287626
Exponential,2,1,10.2,Simulation,0.379639,0.521934
Exponential,2,1,10.2,Statistical,0.37951855763070563,0.522442538894733
Constant,2,1,10.3,Simulation,0.423458,0.479184
Constant,2,1,10.3,Statistical,0.4232631242294577,0.47964955528647285
Exponential,2,1,10.3,Simulation,0.384729,0.517911
Exponential,2,1,10.3,Statistical,0.3844796252653146,0.5184332747110407
Constant,2,1,10.4,Simulation,0.429406,0.474663
Constant,2,1,10.4,Statistical,0.4279578081862596,0.47588839752088874
Exponential,2,1,10.4,Simulation,0.389108,0.514763
Exponential,2,1,10.4,Statistical,0.38937546656087624,0.5144709361444095
Constant,2,1,10.5,Simulation,0.433998,0.47141
Constant,2,1,10.5,Statistical,0.43258636923375077,0.4721755818179471
Exponential,2,1,10.5,Simulation,0.394556,0.511078
Exponential,2,1,10.5,Statistical,0.3942068023914457,0.5105553248456739
Constant,2,1,10.6,Simulation,0.437408,0.468195
Constant,2,1,10.6,Statistical,0.43714981198589586,0.46851060672752987
Exponential,2,1,10.6,Simulation,0.39805,0.506963
Exponential,2,1,10.6,Statistical,0.3989743776367267,0.5066861987832151
Constant,2,1,10.7,Simulation,0.441731,0.464889
Constant,2,1,10.7,Statistical,0.4416491424989879,0.46489295055532476
Exponential,2,1,10.7,Simulation,0.40232,0.50374
Exponential,2,1,10.7,Statistical,0.40367895756301014,0.5028632767764798
Constant,2,1,10.8,Simulation,0.44573,0.461985
Constant,2,1,10.8,Statistical,0.44608536623238404,0.4613220742715526
Exponential,2,1,10.8,Simulation,0.407869,0.498989
Exponential,2,1,10.8,Statistical,0.4083213245251468,0.49908624265829893
Constant,2,1,10.9,Simulation,0.451252,0.457197
Constant,2,1,10.9,Statistical,0.4504594862264421,0.4577974241547628
Exponential,2,1,10.9,Simulation,0.413037,0.494867
Exponential,2,1,10.9,Statistical,0.4129022749645226,0.4953547490941783
Constant,2,1,11.0,Simulation,0.455566,0.453577
Constant,2,1,11.0,Statistical,0.4547725014785168,0.4543184341928581
Exponential,2,1,11.0,Simulation,0.417674,0.491138
Exponential,2,1,11.0,Statistical,0.4174226166797354,0.4916684210847813
Constant,2,1,11.1,Simulation,0.46042,0.449784
Constant,2,1,11.1,Statistical,0.4590254054994402,0.45088452826172803
Exponential,2,1,11.1,Simulation,0.420377,0.489264
Exponential,2,1,11.1,Statistical,0.4218831663483197,0.4880268591759772
Constant,2,1,11.2,Simulation,0.463242,0.447099
Constant,2,1,11.2,Statistical,0.4632191850343661,0.44749512210021924
Exponential,2,1,11.2,Simulation,0.426784,0.483555
Exponential,2,1,11.2,Statistical,0.4262847472794222,0.48442964239908537
Constant,2,1,11.3,Simulation,0.467841,0.443763
Constant,2,1,11.3,Statistical,0.4673548189331929,0.44414962509865
Exponential,2,1,11.3,Simulation,0.431158,0.480239
Exponential,2,1,11.3,Statistical,0.43062818737879727,0.48087633096230853
Constant,2,1,11.4,Simulation,0.471421,0.440383
Constant,2,1,11.4,Statistical,0.47143327715701905,0.4408474419166721
Exponential,2,1,11.4,Simulation,0.435249,0.476966
Exponential,2,1,11.4,Statistical,0.43491431730887176,0.47736646871280775
Constant,2,1,11.5,Simulation,0.475263,0.437531
Constant,2,1,11.5,Statistical,0.47545551990822704,0.43758797394498145
Exponential,2,1,11.5,Simulation,0.439116,0.474347
Exponential,2,1,11.5,Statistical,0.43914396882791534,0.4738995853874362
Constant,2,1,11.6,Simulation,0.480621,0.433472
Constant,2,1,11.6,Statistical,0.47942249687283167,0.4343706206241994
Exponential,2,1,11.6,Simulation,0.443002,0.471146
Exponential,2,1,11.6,Statistical,0.443317973293565,0.4704751986687999
Constant,2,1,11.7,Simulation,0.484391,0.430457
Constant,2,1,11.7,Statistical,0.4833351465647097,0.4311947806331295
Exponential,2,1,11.7,Simulation,0.448592,0.465956
Exponential,2,1,11.7,Statistical,0.4474371603170758,0.46709281606206277
Constant,2,1,11.8,Simulation,0.487658,0.427341
Constant,2,1,11.8,Statistical,0.48719439576219686,0.4280598529576037
Exponential,2,1,11.8,Simulation,0.452769,0.462833
Exponential,2,1,11.8,Statistical,0.45150235655572335,0.4637519366067431
Constant,2,1,11.9,Simulation,0.491847,0.423913
Constant,2,1,11.9,Statistical,0.49100115902836977,0.4249652378501884
Exponential,2,1,11.9,Simulation,0.455151,0.460737
Exponential,2,1,11.9,Statistical,0.455514384631755,0.4604520524366629
Constant,2,1,12.0,Simulation,0.495058,0.421166
Constant,2,1,12.0,Statistical,0.4947563383070678,0.42191033769017516
Exponential,2,1,12.0,Simulation,0.460567,0.45632
Exponential,2,1,12.0,Statistical,0.45947406216720066,0.4571926502002036
Constant,2,1,12.1,Simulation,0.499018,0.417712
Constant,2,1,12.1,Statistical,0.4984608225873999,0.41889455775249507
Exponential,2,1,12.1,Simulation,0.464183,0.453092
Exponential,2,1,12.1,Statistical,0.4633822009246891,0.4539732123520838
Constant,2,1,12.2,Simulation,0.502717,0.415184
Constant,2,1,12.2,Statistical,0.502115487630115,0.41591730689347317
Exponential,2,1,12.2,Simulation,0.468047,0.450104
Exponential,2,1,12.2,Statistical,0.4672396060452016,0.4507932183270074
Constant,2,1,12.3,Simulation,0.506655,0.412461
Constant,2,1,12.3,Statistical,0.5057211957497837,0.4129779981606828
Exponential,2,1,12.3,Simulation,0.47097,0.447571
Exponential,2,1,12.3,Statistical,0.4710470753744107,0.44765214560472844
Constant,2,1,12.4,Simulation,0.509845,0.409365
Constant,2,1,12.4,Statistical,0.5092787956472755,0.4100760493335489
Exponential,2,1,12.4,Simulation,0.474874,0.444547
Exponential,2,1,12.4,Statistical,0.47480539886992823,0.44454947067533124
Constant,2,1,12.5,Simulation,0.513511,0.406357
Constant,2,1,12.5,Statistical,0.512789122287495,0.4072108834007977
Exponential,2,1,12.5,Simulation,0.479772,0.440515
Exponential,2,1,12.5,Statistical,0.47851535808239337,0.4414846699128418
Constant,2,1,12.6,Simulation,0.516855,0.404103
Constant,2,1,12.6,Statistical,0.5162529968177868,0.404381928980332
Exponential,2,1,12.6,Simulation,0.481155,0.439584
Exponential,2,1,12.6,Statistical,0.4821777257039129,0.4384572203646446
Constant,2,1,12.7,Simulation,0.519639,0.401869
Constant,2,1,12.7,Statistical,0.5196712265228245,0.4015886206866527
Exponential,2,1,12.7,Simulation,0.48524,0.435713
Exponential,2,1,12.7,Statistical,0.48579326517788346,0.43546660046359553
Constant,2,1,12.8,Simulation,0.524299,0.398003
Constant,2,1,12.8,Statistical,0.5230446048121679,0.398830399450509
Exponential,2,1,12.8,Simulation,0.488472,0.43282
Exponential,2,1,12.8,Statistical,0.4893627303647173,0.43251229066917735
Constant,2,1,12.9,Simulation,0.527143,0.395571
Constant,2,1,12.9,Statistical,0.5263739112370162,0.3961067127950727
Exponential,2,1,12.9,Simulation,0.493064,0.429849
Exponential,2,1,12.9,Statistical,0.49288686525843595,0.4295937740435447
Constant,2,1,13.0,Simulation,0.530716,0.392596
Constant,2,1,13.0,Statistical,0.5296599115329945,0.3934170150725642
Exponential,2,1,13.0,Simulation,0.496457,0.42588
Exponential,2,1,13.0,Statistical,0.4963664037495123,0.4267105367678415
Constant,2,1,13.1,Simulation,0.533399,0.390103
Constant,2,1,13.1,Statistical,0.5329033576860939,0.3907607676649336
Exponential,2,1,13.1,Simulation,0.499809,0.424388
Exponential,2,1,13.1,Statistical,0.49980206942972116,0.42386206860374787
Constant,2,1,13.2,Simulation,0.535623,0.387884
Constant,2,1,13.2,Statistical,0.5361049880191442,0.38813743915189347
Exponential,2,1,13.2,Simulation,0.503863,0.420351
Exponential,2,1,13.2,Statistical,0.503194575435106,0.4210478633048228
Constant,2,1,13.3,Simulation,0.539953,0.384756
Constant,2,1,13.3,Statistical,0.5392655272964428,0.38554650544931923
Exponential,2,1,13.3,Simulation,0.50682,0.417936
Exponential,2,1,13.3,Statistical,0.5065446243234952,0.4182674189818433
Constant,2,1,13.4,Simulation,0.543267,0.382266
Constant,2,1,13.4,Statistical,0.5423856868443714,0.3829874499207826
Exponential,2,1,13.4,Simulation,0.50918,0.415919
Exponential,2,1,13.4,Statistical,0.5098529079832943,0.4155202384260096
Constant,2,1,13.5,Simulation,0.545252,0.380541
Constant,2,1,13.5,Statistical,0.5454661646860338,0.3804597634647492
Exponential,2,1,13.5,Simulation,0.513992,0.412055
Exponential,2,1,13.5,Statistical,0.5131201075705584,0.41280582939357247
Constant,2,1,13.6,Simulation,0.54888,0.3774
Constant,2,1,13.6,Statistical,0.5485076456881358,0.3779629445797501
Exponential,2,1,13.6,Simulation,0.516694,0.409627
Exponential,2,1,13.6,Statistical,0.516346893471592,0.4101237048551659
Constant,2,1,13.7,Simulation,0.551885,0.375063
Constant,2,1,13.7,Statistical,0.5515108017184804,0.37549649940965346
Exponential,2,1,13.7,Simulation,0.520209,0.406781
Exponential,2,1,13.7,Statistical,0.5195339252885638,0.4074733832128534
Constant,2,1,13.8,Simulation,0.554802,0.372657
Constant,2,1,13.8,Statistical,0.5544762918126168,0.37305994177096846
Exponential,2,1,13.8,Simulation,0.521677,0.405088
Exponential,2,1,13.8,Statistical,0.5226818518458279,0.40485438848766575
Constant,2,1,13.9,Simulation,0.557827,0.370164
Constant,2,1,13.9,Statistical,0.5574047623483087,0.3706527931639597
Exponential,2,1,13.9,Simulation,0.525014,0.402706
Exponential,2,1,13.9,Statistical,0.5257913112148423,0.4022662504801826
Constant,2,1,14.0,Simulation,0.561112,0.367514
Constant,2,1,14.0,Statistical,0.5602968472266222,0.3682745827691901
Exponential,2,1,14.0,Simulation,0.528905,0.3998
Exponential,2,1,14.0,Statistical,0.5288629307557545,0.399708504906504
Constant,2,1,14.1,Simulation,0.564324,0.365273
Constant,2,1,14.1,Statistical,0.5631531680585407,0.3659248474309793
Exponential,2,1,14.1,Simulation,0.530678,0.39795
Exponential,2,1,14.1,Statistical,0.5318973271738867,0.39718069351177365
Constant,2,1,14.2,Simulation,0.566175,0.362967
Constant,2,1,14.2,Statistical,0.565974334356125,0.3636031316291318
Exponential,2,1,14.2,Simulation,0.534021,0.395489
Exponential,2,1,14.2,Statistical,0.5348951065895055,0.39468236416323965
Constant,2,1,14.3,Simulation,0.568611,0.361008
Constant,2,1,14.3,Statistical,0.568760943727333,0.36130898744017304
Exponential,2,1,14.3,Simulation,0.537274,0.392698
Exponential,2,1,14.3,Statistical,0.5378568646194014,0.39221307092467794
Constant,2,1,14.4,Simulation,0.572068,0.358307
Constant,2,1,14.4,Statistical,0.5715135820736915,0.3590419744892305
Exponential,2,1,14.4,Simulation,0.539356,0.391075
Exponential,2,1,14.4,Statistical,0.5407831864689276,0.389772374113863
Constant,2,1,14.5,Simulation,0.573946,0.357057
Constant,2,1,14.5,Statistical,0.5742328237901093,0.35680165989358703
Exponential,2,1,14.5,Simulation,0.544973,0.386619
Exponential,2,1,14.5,Statistical,0.5436746470332683,0.38735984034462356
Constant,2,1,14.6,Simulation,0.57723,0.35426
Constant,2,1,14.6,Statistical,0.576919231966174,0.35458761819885976
Exponential,2,1,14.6,Simulation,0.546533,0.385132
Exponential,2,1,14.6,Statistical,0.5465318110068117,0.38497504255490933
Constant,2,1,14.7,Simulation,0.579331,0.352268
Constant,2,1,14.7,Statistical,0.5795733585883581,0.3523994313086575
Exponential,2,1,14.7,Simulation,0.548551,0.383272
Exponential,2,1,14.7,Statistical,0.5493552329996033,0.3826175600221696
Constant,2,1,14.8,Simulation,0.582889,0.349738
Constant,2,1,14.8,Statistical,0.5821957447426093,0.3502366884085105
Exponential,2,1,14.8,Simulation,0.551957,0.380936
Exponential,2,1,14.8,Statistical,0.5521454576599455,0.38028697836724457
Constant,2,1,14.9,Simulation,0.584196,0.348385
Constant,2,1,14.9,Statistical,0.5847869208168582,0.3480989858847878
Exponential,2,1,14.9,Simulation,0.555146,0.377637
Exponential,2,1,14.9,Statistical,0.5549030198022905,0.3779828895478713
Constant,2,1,15.0,Simulation,0.587193,0.346223
Constant,2,1,15.0,Statistical,0.5873474067030325,0.34598592723925126
Exponential,2,1,15.0,Simulation,0.558625,0.374509
Exponential,2,1,15.0,Statistical,0.5576284445396555,0.37570489184281497
Constant,2,1,15.1,Simulation,0.590633,0.34386
Constant,2,1,15.1,Statistical,0.5898777119981992,0.34389712299985087
Exponential,2,1,15.1,Simulation,0.558756,0.374641
Exponential,2,1,15.1,Statistical,0.560322247419851,0.37345258982755625
Constant,2,1,15.2,Simulation,0.592784,0.341439
Constant,2,1,15.2,Statistical,0.5923783362045133,0.3418321906282944
Exponential,2,1,15.2,Simulation,0.562915,0.371483
Exponential,2,1,15.2,Statistical,0.5629849345648849,0.37122559434238867
Constant,2,1,15.3,Simulation,0.594568,0.339735
Constant,2,1,15.3,Statistical,0.5948497689276794,0.33979075442488904
Exponential,2,1,15.3,Simulation,0.565761,0.368685
Exponential,2,1,15.3,Statistical,0.5656170028129597,0.36902352245370695
Constant,2,1,15.4,Simulation,0.597501,0.337678
Constant,2,1,15.4,Statistical,0.5972924900736656,0.33777244543110574
Exponential,2,1,15.4,Simulation,0.570005,0.365286
Exponential,2,1,15.4,Statistical,0.5682189398625366,0.36684599740920754
Constant,2,1,15.5,Simulation,0.599393,0.335724
Constant,2,1,15.5,Statistical,0.599706970043452,0.33577690133026594
Exponential,2,1,15.5,Simulation,0.5719,0.363523
Exponential,2,1,15.5,Statistical,0.5707912244179866,0.36469264858765893
Constant,2,1,15.6,Simulation,0.601771,0.333722
Constant,2,1,15.6,Statistical,0.6020936699256092,0.3338037663467286
Exponential,2,1,15.6,Simulation,0.572456,0.363308
Exponential,2,1,15.6,Statistical,0.5733343263363975,0.3625631114438488
Constant,2,1,15.7,Simulation,0.605301,0.33107
Constant,2,1,15.7,Statistical,0.6044530416865407,0.3318526911439058
Exponential,2,1,15.7,Simulation,0.575752,0.360125
Exponential,2,1,15.7,Statistical,0.5758487067751471,0.3604570274492582
Constant,2,1,15.8,Simulation,0.606502,0.330042
Constant,2,1,15.8,Statistical,0.6067855283582377,0.3299233327214155
Exponential,2,1,15.8,Simulation,0.578402,0.358693
Exponential,2,1,15.8,Statistical,0.578334818339887,0.35837404402897566
Constant,2,1,15.9,Simulation,0.609605,0.327569
Constant,2,1,15.9,Statistical,0.6090915642234236,0.3280153543116393
Exponential,2,1,15.9,Simulation,0.580608,0.356144
Exponential,2,1,15.9,Statistical,0.5807931052326218,0.3563138144953121
Constant,2,1,16.0,Simulation,0.611425,0.325841
Constant,2,1,16.0,Statistical,0.6113715749979748,0.3261284252759421
Exponential,2,1,16.0,Simulation,0.583333,0.354242
Exponential,2,1,16.0,Statistical,0.583224003399599,0.35427599797854314
Constant,2,1,16.1,Simulation,0.614057,0.32356
Constant,2,1,16.1,Statistical,0.6136259780105342,0.3242622210007664
Exponential,2,1,16.1,Simulation,0.586247,0.351735
Exponential,2,1,16.1,Statistical,0.5856279406787482,0.3522602593551719
Constant,2,1,16.2,Simulation,0.616098,0.322617
Constant,2,1,16.2,Statistical,0.6158551823792379,0.32241642279381133
Exponential,2,1,16.2,Simulation,0.588662,0.349687
Exponential,2,1,16.2,Statistical,0.5880053369464472,0.35026626917406123
Constant,2,1,16.3,Simulation,0.618146,0.32093
Constant,2,1,16.3,Statistical,0.6180595891854975,0.32059071778047155
Exponential,2,1,16.3,Simulation,0.591185,0.347761
Exponential,2,1,16.3,Statistical,0.5903566042634026,0.3482937035807695
Constant,2,1,16.4,Simulation,0.62002,0.318805
Constant,2,1,16.4,Statistical,0.6202395916447891,0.31878479880070043
Exponential,2,1,16.4,Simulation,0.592316,0.346451
Exponential,2,1,16.4,Statistical,0.5926821470194709,0.34634224424037663
Constant,2,1,16.5,Simulation,0.622439,0.316716
Constant,2,1,16.5,Statistical,0.6223955752744152,0.316998364306441
Exponential,2,1,16.5,Simulation,0.59505,0.344462
Exponential,2,1,16.5,Statistical,0.5949823620772471,0.34441157825908353
Constant,2,1,16.6,Simulation,0.624488,0.315068
Constant,2,1,16.6,Statistical,0.6245279180582104,0.31523111825975636
Exponential,2,1,16.6,Simulation,0.596611,0.342961
Exponential,2,1,16.6,Statistical,0.5972576389142895,0.3425013981048194
Constant,2,1,16.7,Simulation,0.626354,0.313544
Constant,2,1,16.7,Statistical,0.6266369906081778,0.31348277003177116
Exponential,2,1,16.7,Simulation,0.599232,0.341097
Exponential,2,1,16.7,Statistical,0.5995083597638452,0.34061140152709113
Constant,2,1,16.8,Simulation,0.628865,0.311116
Constant,2,1,16.8,Statistical,0.6287231563230485,0.31175303430252865
Exponential,2,1,16.8,Simulation,0.600687,0.339799
Exponential,2,1,16.8,Statistical,0.60173489975397,0.3387412914762754
Constant,2,1,16.9,Simulation,0.631377,0.309677
Constant,2,1,16.9,Statistical,0.6307867715437605,0.310041630961852
Exponential,2,1,16.9,Simulation,0.604953,0.336065
Exponential,2,1,16.9,Statistical,0.6039376270449467,0.3368907760225385
Constant,2,1,17.0,Simulation,0.632868,0.308088
Constant,2,1,17.0,Statistical,0.6328281857058657,0.3083482850112904
Exponential,2,1,17.0,Simulation,0.606401,0.334493
Exponential,2,1,17.0,Statistical,0.606116902964916,0.33505956827455585
Constant,2,1,17.1,Simulation,0.635177,0.306305
Constant,2,1,17.1,Statistical,0.6348477414888801,0.3066727264672149
Exponential,2,1,17.1,Simulation,0.607013,0.334396
Exponential,2,1,17.1,Statistical,0.6082730821436518,0.33324738629817996
Constant,2,1,17.2,Simulation,0.636831,0.305106
Constant,2,1,17.2,Statistical,0.636845774962586,0.3050146902651323
Exponential,2,1,17.2,Simulation,0.60965,0.332179
Exponential,2,1,17.2,Statistical,0.6104065126444171,0.3314539530351983
Constant,2,1,17.3,Simulation,0.638878,0.303143
Constant,2,1,17.3,Statistical,0.6388226157303211,0.3033739161652568
Exponential,2,1,17.3,Simulation,0.611865,0.329893
Exponential,2,1,17.3,Statistical,0.612517536093852,0.32967899622230457
Constant,2,1,17.4,Simulation,0.640788,0.301858
Constant,2,1,17.4,Statistical,0.6407785870692675,0.3017501486593972
Exponential,2,1,17.4,Simulation,0.615203,0.327599
Exponential,2,1,17.4,Statistical,0.614606487809851,0.3279222483103952
Constant,2,1,17.5,Simulation,0.642869,0.30018
Constant,2,1,17.5,Statistical,0.6427140060677834,0.30014313687918426
Exponential,2,1,17.5,Simulation,0.616686,0.326063
Exponential,2,1,17.5,Statistical,0.6166736969273955,0.32618344638429475
Constant,2,1,17.6,Simulation,0.645508,0.29785
Constant,2,1,17.6,Statistical,0.6446291837597994,0.2985526345056789
Exponential,2,1,17.6,Simulation,0.618911,0.324224
Exponential,2,1,17.6,Statistical,0.6187194865223153,0.32446233208299713
Constant,2,1,17.7,Simulation,0.64643,0.297412
Constant,2,1,17.7,Statistical,0.6465244252563243,0.296978399680381
Exponential,2,1,17.7,Simulation,0.620365,0.322766
Exponential,2,1,17.7,Statistical,0.6207441737329605,0.322758651520507
Constant,2,1,17.8,Simulation,0.649106,0.295312
Constant,2,1,17.8,Statistical,0.6484000298740937,0.2954201949176608
Exponential,2,1,17.8,Simulation,0.621836,0.321757
Exponential,2,1,17.8,Statistical,0.6227480698797663,0.3210721552073543
Constant,2,1,17.9,Simulation,0.650733,0.293079
Constant,2,1,17.9,Statistical,0.6502562912614044,0.29387778701862977
Exponential,2,1,17.9,Simulation,0.623931,0.319953
Exponential,2,1,17.9,Statistical,0.6247314805827073,0.31940259797284254
Constant,2,1,18.0,Simulation,0.651881,0.292947
Constant,2,1,18.0,Statistical,0.6520934975211743,0.292350946986459
Exponential,2,1,18.0,Simulation,0.626053,0.318408
Exponential,2,1,18.0,Statistical,0.6266947058766354,0.31774973888809055
Constant,2,1,18.1,Simulation,0.653893,0.290828
Constant,2,1,18.1,Statistical,0.6539119313312765,0.290839449943155
Exponential,2,1,18.1,Simulation,0.628777,0.316252
Exponential,2,1,18.1,Statistical,0.6286380403244998,0.3161133411899192
Constant,2,1,18.2,Simulation,0.656274,0.289112
Constant,2,1,18.2,Statistical,0.6557118700621849,0.28934307504779766
Exponential,2,1,18.2,Simulation,0.630861,0.314104
Exponential,2,1,18.2,Statistical,0.6305617731284582,0.3144931722056242
Constant,2,1,18.3,Simulation,0.657332,0.288156
Constant,2,1,18.3,Statistical,0.6574935858919858,0.2878616054162374
Exponential,2,1,18.3,Simulation,0.632831,0.312573
Exponential,2,1,18.3,Statistical,0.6324661882388871,0.31288900327867386
Constant,2,1,18.4,Simulation,0.659522,0.286005
Constant,2,1,18.4,Statistical,0.659257345918795,0.2863948280422546
Exponential,2,1,18.4,Simulation,0.634703,0.31091
Exponential,2,1,18.4,Statistical,0.6343515644612987,0.3113006096953669
Constant,2,1,18.5,Simulation,0.661011,0.28486
Constant,2,1,18.5,Statistical,0.6610034122706328,0.28494253372017164
Exponential,2,1,18.5,Simulation,0.636038,0.309947
Exponential,2,1,18.5,Statistical,0.6362181755611847,0.30972777061247647
Constant,2,1,18.6,Simulation,0.662742,0.283851
Constant,2,1,18.6,Statistical,0.6627320422128017,0.283504516968915
Exponential,2,1,18.6,Simulation,0.639765,0.306337
Exponential,2,1,18.6,Statistical,0.6380662903667991,0.3081702689859056
Constant,2,1,18.7,Simulation,0.664597,0.281675
Constant,2,1,18.7,Statistical,0.6644434882528154,0.282080575957517
Exponential,2,1,18.7,Simulation,0.639718,0.306894
Exponential,2,1,18.7,Statistical,0.6398961728699025,0.3066278915003735
Constant,2,1,18.8,Simulation,0.665791,0.28088
Constant,2,1,18.8,Statistical,0.6661379982429294,0.28067051243204477
Exponential,2,1,18.8,Simulation,0.64139,0.305421
Exponential,2,1,18.8,Statistical,0.6417080823244891,0.30510042850014785
Constant,2,1,18.9,Simulation,0.667647,0.27912
Constant,2,1,18.9,Statistical,0.667815815480317,0.27927413164394843
Exponential,2,1,18.9,Simulation,0.643498,0.303638
Exponential,2,1,18.9,Statistical,0.6435022733435141,0.3035876739208405
Constant,2,1,19.0,Simulation,0.669077,0.277841
Constant,2,1,19.0,Statistical,0.6694771788049438,0.27789124227981044
Exponential,2,1,19.0,Simulation,0.644572,0.302989
Exponential,2,1,19.0,Statistical,0.6452789959936562,0.3020894252222689
Constant,2,1,19.1,Simulation,0.671364,0.27617
Constant,2,1,19.1,Statistical,0.6711223226951855,0.2765216563924836
Exponential,2,1,19.1,Simulation,0.647245,0.300497
Exponential,2,1,19.1,Statistical,0.6470384958881289,0.30060548332240056
Constant,2,1,19.2,Simulation,0.673515,0.274373
Constant,2,1,19.2,Statistical,0.6727514773612366,0.2751651893336017
Exponential,2,1,19.2,Simulation,0.648146,0.299443
Exponential,2,1,19.2,Statistical,0.6487810142775783,0.2991356525323733
Constant,2,1,19.3,Simulation,0.674228,0.274021
Constant,2,1,19.3,Statistical,0.674364868836359,0.27382165968744543
Exponential,2,1,19.3,Simulation,0.649425,0.298307
Exponential,2,1,19.3,Statistical,0.6505067881390872,0.29767974049260637
Constant,2,1,19.4,Simulation,0.676333,0.271904
Constant,2,1,19.4,Statistical,0.6759627190660165,0.2724908892061447
Exponential,2,1,19.4,Simulation,0.651587,0.296637
Exponential,2,1,19.4,Statistical,0.6522160502633197,0.29623755810999186
Constant,2,1,19.5,Simulation,0.677753,0.270854
Constant,2,1,19.5,Statistical,0.6775452459949409,0.2711727027462011
Exponential,2,1,19.5,Simulation,0.654053,0.294685
Exponential,2,1,19.5,Statistical,0.6539090293398322,0.29480891949617194
Constant,2,1,19.6,Simulation,0.679658,0.269313
Constant,2,1,19.6,Statistical,0.6791126636521774,0.26986692820630864
Exponential,2,1,19.6,Simulation,0.655249,0.293426
Exponential,2,1,19.6,Statistical,0.6555859500405821,0.2933936419068963
Constant,2,1,19.7,Simulation,0.680975,0.268176
Constant,2,1,19.7,Statistical,0.6806651822341518,0.2685733964664566
Exponential,2,1,19.7,Simulation,0.656973,0.292197
Exponential,2,1,19.7,Statistical,0.6572470331016654,0.29199154568245445
Constant,2,1,19.8,Simulation,0.682349,0.267162
Constant,2,1,19.8,Statistical,0.6822030081858079,0.26729194132829026
Exponential,2,1,19.8,Simulation,0.658062,0.291282
Exponential,2,1,19.8,Statistical,0.6588924954033121,0.29060245418917807
Constant,2,1,19.9,Simulation,0.684175,0.265857
Constant,2,1,19.9,Statistical,0.6837263442798551,0.2660223994567127
Exponential,2,1,19.9,Simulation,0.659809,0.289549
Exponential,2,1,19.9,Statistical,0.6605225500481704,0.28922619376200576
Constant,2,1,20.0,Simulation,0.685354,0.264977
Constant,2,1,20.0,Statistical,0.6852353896941732,0.26476461032270493
Exponential,2,1,20.0,Simulation,0.661695,0.288491
Exponential,2,1,20.0,Statistical,0.6621374064379141,0.2878625936481014
